RowNumber,CustomerId,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
330,15624528,664,26,7,116244.14,2,1,1,95145.14,0
331,15598493,656,50,7,0,2,0,1,72143.44,0
332,15601274,667,40,1,146502.07,1,1,0,19162.89,0
333,15702669,663,44,2,117028.6,2,0,1,144680.18,0
334,15728669,584,30,8,112013.81,1,1,0,177772.03,1
335,15742668,626,37,6,108269.37,1,1,0,5597.94,0
336,15697441,485,29,7,182123.79,1,1,0,116828.51,1
337,15740476,659,32,3,150923.74,2,0,1,174652.51,0
338,15648064,649,33,2,0,2,1,0,2010.98,0
339,15636624,805,39,5,165272.13,1,1,0,14109.85,1
340,15807923,716,39,10,115301.31,1,1,0,43527.4,1
341,15745844,642,40,6,129502.49,2,0,1,86099.23,1
342,15786170,659,31,4,118342.26,1,0,0,161574.19,0
343,15681081,545,47,5,0,2,1,1,38970.14,0
344,15684484,543,22,8,0,2,0,0,127587.22,0
345,15785869,718,25,7,0,2,1,0,30380.12,0
346,15763859,840,43,7,0,2,1,0,90908.95,0
347,15658935,630,34,9,106937.05,2,1,0,138275.01,0
348,15747358,643,59,3,170331.37,1,1,1,32171.79,0
349,15735203,654,32,1,114510.85,1,1,1,126143.23,0
350,15576256,582,39,5,0,2,1,1,129892.93,0
351,15659420,659,32,3,107594.11,2,1,1,102416.84,0
352,15593365,762,39,2,81273.13,1,1,1,18719.67,0
353,15777352,568,32,7,169399.6,1,1,0,61936.22,0
354,15812007,670,25,6,0,2,1,1,78358.94,0
355,15625461,613,45,1,187841.99,2,1,1,147224.27,0
356,15739438,539,30,0,0,2,1,0,160979.66,0
357,15611759,850,57,8,126776.3,2,1,1,132298.49,0
358,15661629,522,34,9,126436.29,1,1,0,174248.52,1
359,15633950,737,41,1,101960.74,1,1,1,123547.28,0
360,15592386,520,58,3,0,2,0,1,32790.02,0
361,15803716,706,28,3,0,2,0,1,181543.67,0
362,15696674,643,45,2,150842.93,1,0,1,2319.96,1
363,15706365,648,50,9,102535.57,1,1,1,189543.19,0
364,15745088,443,29,9,99027.61,2,1,0,10940.4,0
365,15676715,640,68,9,0,2,1,1,199493.38,0
366,15613085,628,33,3,0,1,1,1,188193.25,0
367,15633537,540,42,9,87271.41,2,1,0,172572.64,0
368,15594720,460,35,8,102742.91,2,1,1,189339.6,0
369,15684042,636,34,2,40105.51,2,0,1,53512.16,0
370,15583303,593,29,2,152265.43,1,1,0,34004.44,0
371,15611579,801,42,4,141947.67,1,1,1,10598.29,0
372,15774696,640,75,1,106307.91,2,0,1,113428.77,0
373,15694506,611,31,0,107884.81,2,1,1,183487.98,0
374,15688074,802,31,1,125013.72,1,1,1,187658.09,0
375,15759537,717,35,7,58469.37,2,1,1,172459.39,0
376,15758449,769,39,8,0,1,0,1,21016,0
377,15583456,745,45,10,117231.63,3,1,1,122381.02,1
378,15667871,572,35,4,152390.26,1,1,0,128123.66,0
379,15677371,629,30,2,34013.63,1,1,0,19570.63,0
380,15629677,687,39,2,0,3,0,0,188150.6,1
381,15713578,483,50,9,0,2,1,1,111020.24,0
382,15591509,690,36,7,101583.11,2,1,0,123775.15,0
383,15568240,492,30,10,77168.87,2,0,1,146700.22,0
384,15622993,709,28,8,124695.72,2,1,0,145251.35,0
385,15689294,705,44,3,105934.96,1,1,0,82463.69,0
386,15720910,560,66,9,0,1,1,1,15928.49,0
387,15721181,611,46,6,0,2,1,0,45886.33,0
388,15776433,730,62,2,0,2,1,1,186489.95,0
389,15748936,709,45,2,0,2,0,1,162922.65,0
390,15717225,544,21,10,161525.96,2,1,0,9262.77,0
391,15685226,712,29,7,147199.07,1,1,1,84932.4,0
392,15785611,752,38,3,183102.29,1,1,1,71557.12,0
393,15573456,648,46,9,127209,2,1,0,77405.95,1
394,15684548,556,38,8,0,2,0,0,417.41,1
395,15620505,594,24,0,97378.54,1,1,1,71405.17,0
396,15807432,645,37,2,136925.09,2,0,1,153400.24,0
397,15584766,557,33,3,54503.55,1,1,1,371.05,0
398,15612187,547,32,8,155726.85,1,1,0,67789.99,0
399,15762218,701,39,9,0,2,0,1,145894.9,0
400,15646372,616,66,1,135842.41,1,1,0,183840.51,1
401,15690452,605,52,1,63349.75,1,1,0,108887.44,0
402,15747795,593,38,4,129499.42,1,1,1,154071.27,0
403,15781589,751,52,8,0,2,0,1,179291.85,0
404,15732674,443,36,6,70438.01,2,0,1,56937.43,0
405,15642291,685,23,8,0,2,1,1,112239.03,0
406,15692761,718,36,9,0,1,1,0,45909.87,0
407,15578045,538,49,9,141434.04,1,0,0,173779.25,1
408,15745354,611,37,4,0,2,1,0,125696.26,0
409,15701376,668,37,10,152958.29,2,1,1,159585.61,0
410,15691625,537,41,3,138306.34,1,1,0,106761.47,0
411,15566594,709,23,10,0,2,0,0,129590.18,0
412,15760431,850,38,1,0,2,1,1,80006.65,0
413,15686302,745,31,3,124328.84,1,1,1,140451.52,0
414,15801559,693,41,9,181461.48,3,1,1,187929.43,1
415,15810432,795,35,8,0,2,1,0,167155.36,0
416,15809616,626,26,8,0,2,0,0,191420.71,0
417,15720559,487,61,5,110368.03,1,0,0,11384.45,1
418,15695632,556,39,9,89588.35,1,1,1,94898.1,0
419,15659843,643,46,6,0,2,0,0,106781.59,0
420,15615624,605,28,6,0,2,0,0,159508.52,0
421,15810418,756,60,3,115924.89,1,1,0,93524.19,1
422,15716186,586,38,2,0,2,1,0,87168.46,0
423,15674551,535,40,7,111756.5,1,1,0,8128.32,1
424,15622834,678,35,4,0,1,1,0,125518.32,0
425,15566111,596,39,9,0,1,1,0,48963.59,0
426,15784597,648,26,9,162923.85,1,1,0,98368.24,0
427,15652883,492,39,10,124576.65,2,1,0,148584.61,0
428,15806964,702,45,0,80793.58,1,1,1,27474.81,0
429,15576313,486,40,9,71340.09,1,1,0,76192.21,0
430,15806467,568,40,1,99282.63,1,0,0,134600.94,1
431,15597602,619,57,3,137946.39,1,1,1,72467.99,1
432,15743040,724,41,2,127892.57,2,0,1,199645.45,0
433,15705521,548,33,0,101084.36,1,1,0,42749.85,0
434,15595039,545,37,8,114754.08,1,1,0,136050.44,1
435,15799384,683,33,8,0,1,0,0,73564.44,0
436,15581197,762,51,3,99286.98,1,0,1,85578.63,0
437,15693737,627,30,4,79871.02,2,1,0,129826.89,0
438,15624623,516,35,10,104088.59,2,0,0,119666,0
439,15783501,800,38,2,168190.33,2,1,0,68052.08,0
440,15690134,464,42,3,85679.25,1,1,1,164104.74,0
441,15782735,626,35,3,0,1,0,0,80190.36,0
442,15611088,790,31,9,0,2,1,0,84126.75,0
443,15672145,534,34,7,121551.58,2,1,1,70179,0
444,15732628,745,46,2,122220.19,1,1,1,118024.1,0
445,15787470,553,47,3,116528.15,1,0,0,145704.19,1
446,15803406,748,26,1,77780.29,1,0,1,183049.41,0
447,15730460,722,37,2,0,1,0,0,120906.83,0
448,15644572,501,40,4,125832.2,1,1,1,100433.83,0
449,15694860,675,38,6,68065.8,1,0,0,138777,1
450,15658169,778,47,6,127299.34,2,1,0,124694.99,0
451,15794396,494,38,7,174937.64,1,1,0,40084.32,0
452,15785798,850,40,9,0,2,0,1,119232.33,0
453,15710825,592,31,7,110071.1,1,0,0,43921.36,0
454,15668444,590,44,3,139432.37,1,1,0,62222.81,0
455,15726631,758,39,6,127357.76,1,0,1,56577,0
456,15733797,506,36,5,0,2,1,0,164253.35,0
457,15747960,733,33,3,0,1,1,1,7666.73,0
458,15634632,711,38,3,0,2,1,0,68487.51,0
459,15707362,514,43,1,95556.31,1,0,1,199273.98,1
460,15662976,637,37,8,0,1,1,1,186062.36,0
461,15732778,468,29,1,111681.98,2,1,1,195711.16,0
462,15718443,539,39,3,0,2,1,0,36692.17,0
463,15670039,509,25,3,108738.71,2,1,0,106920.57,0
464,15773792,662,32,4,133950.37,1,1,1,48725.68,1
465,15613786,818,26,4,0,2,1,1,167036.94,0
466,15726032,608,33,9,89968.69,1,1,0,68777.26,0
467,15663252,850,32,9,0,2,1,1,18924.92,0
468,15593782,816,38,5,130878.75,3,1,0,71905.77,1
469,15633283,536,35,8,0,2,1,0,64833.28,0
470,15749167,753,35,3,0,2,1,1,184843.77,0
471,15759298,631,27,10,134169.62,1,1,1,176730.02,0
472,15683625,703,37,1,149762.08,1,1,0,20629.4,1
473,15635367,774,26,2,93844.69,1,1,0,28415.36,0
474,15681705,785,28,8,0,2,1,0,77231.27,0
475,15603156,571,33,1,0,2,1,0,102750.7,0
476,15591986,621,46,6,141078.37,1,0,0,34580.8,1
477,15798888,605,31,1,117992.59,1,1,1,183598.77,0
478,15809722,611,40,8,100812.33,2,1,0,147358.27,0
479,15677538,569,38,7,0,1,1,1,108469.2,0
480,15797736,658,29,4,80262.6,1,1,1,20612.82,0
481,15695585,788,34,6,156478.62,1,0,1,181196.76,0
